图片名称,内容
1749368555.jpg,Unit 1 A new journey in life iExplore 1 1-2 iExplore 1: Reading Viewing
1749368555.jpg,"1) A,B,E,F"
1749368555.jpg,"1) My campus life is the very start of my real independence. When in high school, I depended a lot on my teachers and parents. But in college, I have to make my own decisions and discipline myself."
1749368555.jpg,"2) Yes. I can safely say that dorm life is by far the most rewarding part of my college life outside the classroom. Living under the same roof with people from all over the country provides me with new perspectives to see the world. No. I'm not really excited about living on campus, because my parents and old friends live far away from me. I'm not sure whether I could make new friends here or how to survive in this totally new environment. I feel a bit anxious when all my past life drops away. 1-3 iExplore 1: Building your language Words and expressions"
1749368555.jpg,1. transition
1749368555.jpg,2. stable
1749368555.jpg,3. unique
1749368555.jpg,4. distinct
1749368555.jpg,5. eventual
1749368555.jpg,6. lack
1749368555.jpg,7. complex
1749368555.jpg,1. bridge the gap
1749368555.jpg,2. turned out
1749368555.jpg,3. drop away
1749368555.jpg,4. settled down
1749368555.jpg,5. come to terms with
1749368555.jpg,6. stand out Collocations
1749368555.jpg,1. unique opportunity
1749368556.jpg,2. unique experience
1749368556.jpg,3. blank 1ook
1749368556.jpg,4. Stable relationships
1749368556.jpg,5. blank space
1749368556.jpg,6. stable condition Vocabulary learning strategies
1749368556.jpg,1. life-long
1749368556.jpg,2. long-lasting
1749368556.jpg,3. skin-deep
1749368556.jpg,4. heart-breaking
1749368556.jpg,5. smoke-free
1749368556.jpg,6. record-breaking Language focus
1749368556.jpg,"1) He said he had never been to the library before, but in fact he had."
1749368556.jpg,"2) How can your classmates learn more about you, or you about them, if you don't join them in activities?"
1749368556.jpg,3) You may declare the news to the class before or after the meeting
1749368556.jpg,4) It doesn't matter whether Peter is for or against the weekend party plan
1749368556.jpg,"5) After a couple of days, I became familiar with the rest of the club members and they with me."
1749368556.jpg,"6) We spend our youth attempting to change the future, and the rest of our lives trying to preserve the past."
1749368556.jpg,"7) Ivy League schools are difficult to get into, but the community colleges are not. Banked cloze"
1749368556.jpg,1) transported
1749368556.jpg,2) complex
1749368556.jpg,3)phase
1749368556.jpg,4) define
1749368556.jpg,5) disconnected
1749368556.jpg,6) identity
1749368556.jpg,7) individual
1749368557.jpg,iExplore 2 1-4 iExplore 2: Reading Viewing
1749368557.jpg,1) welcome
1749368557.jpg,2) move into
1749368557.jpg,3) exciting time
1749368557.jpg,4) First impressions
1749368557.jpg,5) come in
1749368557.jpg,6) excited welcome
1749368557.jpg,7) every day
1749368557.jpg,"1) My parents came with me on my move-in day, but once we had all of my stuff set up we said goodbye to each other. I was alone in my dorm room with a stranger of my age. At first I didn't think we would hit it off: We didn't seem to have similar hobbies or interests. But then he asked if I wanted to play a video game with him. It turned out we were both big fans of the game. So there we sat, playing that game for an hour until other roommates moved in! My move-in day was at first a mess! It was raining, and I forgot to bring an umbrella with me! I regretted that I had refused my parents offer to help me settle down because I wanted to find out what independence was like. I had no idea how to get registered and where my dorm was. Fortunately, some volunteers spotted me. They said my confusing look told them I was new here. The most unforgettable scene was that a lovely girl shared with me her umbrella and walked me to my dorm. 1-5 iExplore 2: Building your language Words and expressions l. pursue"
1749368557.jpg,2. meaningful
1749368557.jpg,3. commutes
1749368557.jpg,4. handy
1749368557.jpg,5. thrive
1749368557.jpg,1) lost touch
1749368557.jpg,2)adapt to
1749368557.jpg,3) cope with
1749368558.jpg,4) associated with
1749368558.jpg,5) take
1749368558.jpg,6) seriously Collocations
1749368558.jpg,1) enjoys the hobby
1749368558.jpg,2) established
1749368558.jpg,3) relationship
1749368558.jpg,4) repair the relationship
1749368558.jpg,"5) gives,provides,gave,provided"
1749368558.jpg,6) perspective
1749368558.jpg,7) gain
1749368558.jpg,8) perspective
1749368558.jpg,9) maintain the relationship Vocabulary learning strategies
1749368558.jpg,1. competitive
1749368558.jpg,2. active
1749368558.jpg,3. motive
1749368558.jpg,4. perspective
1749368558.jpg,"5. objective,objectives"
1749368558.jpg,6. effective Translation 1）当我们试图在曾经的自己和未来的自己之间建立联系的时 候，我们就必须接受这样一个事实，那就是在我们的生活中， 唯一不变的只有我们自己。
1749368558.jpg,2)大学的学习方法与中学的不同，这可能会让学生觉得难以适 应，因为他们已经习惯了中学的填鸭式教育。
1749368558.jpg,3)这本书是给那些已经掌握了英语基础知识且现在要用所学到 的语言知识来阅读专业书籍的学生使用的。
