图片名称,内容
1749313447.jpg,5)B 6) B 7) A 8) A 9) B 10)B 1-6 Further listening News report
1749313447.jpg,1.D
1749313447.jpg,2. D
1749313447.jpg,3. A Conversation
1749313447.jpg,1.B
1749313447.jpg,2. C
1749313447.jpg,3. D Passage
1749313447.jpg,1.B
1749313447.jpg,2.C
1749313447.jpg,3.D 1-7 iEnhance Listening practice
1749313447.jpg,1.B
1749313447.jpg,2. A
1749313447.jpg,3.C 1-8 Unit test News report
1749313447.jpg,1.A
1749313447.jpg,2. D
1749313447.jpg,3.D Conversation
1749313447.jpg,1. C
1749313447.jpg,2. D
1749313447.jpg,3.B Passage
1749313447.jpg,1.D
1749313447.jpg,2. C 师公众号·满分学习
1749313533.jpg,Unit 2 The magic of words 2-2 iExplore l: Listening and speaking Conversation Conversation-l
1749313533.jpg,1. B
1749313533.jpg,"2. D Passage Passage-l 1) B,C 2）A,D Passage-2 l. making it big"
1749313533.jpg,2. got serious with
1749313533.jpg,3. lose confidence News report 1
1749313533.jpg,1. A
1749313533.jpg,2. D
1749313533.jpg,3. C News report 2
1749313533.jpg,1. C
1749313533.jpg,2. A
1749313533.jpg,3. D 2-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 l. polite
1749313533.jpg,2. influencing
1749313533.jpg,3. 1400
1749313533.jpg,4. native tongue
1749313533.jpg,5. healthy
1749313533.jpg,6. change Viewing and understanding-2 1) B 2）A 3） A 4) B 5)B 6） A 2-4 iPractice: Pronunciation Practice Passage-1 1） A 2）A 3) A 4） A 5) B 公众号·满分学习
1749313534.jpg,6) A 7)B 8) B 9) B 10)A 2-6 Further listening News report
1749313534.jpg,1. B
1749313534.jpg,2. A
1749313534.jpg,3. A Conversation
1749313534.jpg,1. A
1749313534.jpg,2. A
1749313534.jpg,3. B Passage
1749313534.jpg,1. D
1749313534.jpg,2. B
1749313534.jpg,3. C 2-7 iEnhance Listening practice
1749313534.jpg,1. C
1749313534.jpg,2. A
1749313534.jpg,3. C 2-8 Unit test News report
1749313534.jpg,1. A
1749313534.jpg,2. C
1749313534.jpg,3. C Conversation
1749313534.jpg,1. D
1749313534.jpg,2. C
1749313534.jpg,3. D Passage
1749313534.jpg,1. A
1749313534.jpg,2. D
1749313534.jpg,3. A 公众号·满分学习
1749313594.jpg,12) worst 3-4 iPractice: Pronunciation Practice Practice-l 1) B 2)B 3) A 4) B 5）B 6) A 7)B 8) A 9) B 10)A 11)A 12) A 13）A 14) A 15）A 16) A 3-6 Further listening News report
1749313594.jpg,1. A
1749313594.jpg,2. C
1749313594.jpg,3. C Conversation
1749313594.jpg,1. D
1749313594.jpg,2. D
1749313594.jpg,3. A Passage
1749313594.jpg,1. D
1749313594.jpg,2. C
1749313594.jpg,3. A 3-7 iEnhance Listening practice
1749313594.jpg,1. A
1749313594.jpg,2. D 3-8 Unit test News report
1749313594.jpg,1. D
1749313594.jpg,2. D
1749313594.jpg,3. C Conversation
1749313594.jpg,1. D
1749313594.jpg,2. C 公众号·满分学习
1749313595.jpg,3. B Passage
1749313595.jpg,1. C
1749313595.jpg,2. D
1749313595.jpg,3. D 公众号·满分学习
1749313736.jpg,Unit 4 Life at fingertips 4-2 iExplore l: Listening and speaking Conversation Conversation-2
1749313736.jpg,1. D
1749313736.jpg,2. D
1749313736.jpg,3. B Passage Passage-l 1) perfect 2) boring 3) office 4) only job 5) beautiful 6) French wines News report 1
1749313736.jpg,1. A
1749313736.jpg,2. D News report 2
1749313736.jpg,1. C
1749313736.jpg,2. A
1749313736.jpg,3. D 4-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 1） bored 2) consider 3) lazy 4) success 5) social 6) connected 7) promise 8) accept 9) leaders 10) creating Viewing and understanding-2 1) contact 2) pull out 3) refuse 4) make sure 5) empty 6) servants 7) cut 8))watch 9) texting to 10) own lives 4-4 iPractice: Pronunciation 公众号·满分学习
1749313737.jpg,Practice Practice-l
1749313737.jpg,1. A
1749313737.jpg,2. B
1749313737.jpg,3. B
1749313737.jpg,4. A
1749313737.jpg,5. B
1749313737.jpg,6. A
1749313737.jpg,7. A 4-6 Further listening News report
1749313737.jpg,1. C
1749313737.jpg,2. B
1749313737.jpg,3. A Conversation
1749313737.jpg,1. B
1749313737.jpg,2. C
1749313737.jpg,3. A Passage
