图片名称,内容
1749184550.jpg,1.lt has got one of its limbs injured.
1749184550.jpg,2.lts videos were posted on social media.
1749184550.jpg,1.Declaration of Zika virus as a global health emergency.
1749184550.jpg,2.There is a link between the virus and brain disorders in babies.
1749184550.jpg,1.lt will be held near the capital.
1749184550.jpg,2.A higher level of knowledge.
1749184550.jpg,3.Because Edith could spell dlifficult words at four. 新闻听力专练2
1749184550.jpg,1.The riots on Christmas lsland.
1749184550.jpg,2.Argument between a detainee and a guard.
1749184550.jpg,1.lt will have a huge increase.
1749184550.jpg,2.lt is linked to the Internet.
1749184550.jpg,1.Insufficient potato supply.
1749184550.jpg,2.lt is afraid of the spread of disease.
1749184550.jpg,3.Global warming. 新闻听力专练3
1749184550.jpg,1.94.
1749184550.jpg,2.Camping in temporary tents.
1749184550.jpg,1.Global warming s effects on the poorest people.
1749184550.jpg,2.Take action to reduce carbon emissions.
1749184550.jpg,1.A plant-powered mobile phone charger.
1749184550.jpg,2.While sitting in their school's courtyard.
1749184550.jpg,3.While sitting in their school's 师公众号·满分学习
1749184551.jpg,courtyard. 第三章长对话精讲与专练
1749184551.jpg,3.1 考点解析 随堂测试1
1749184551.jpg,1.演讲
1749184551.jpg,2.话轮
1749184551.jpg,3.一问一答
1749184551.jpg,4.杂志中包含哪些信息 随堂测试1
1749184551.jpg,1.顺序一致
1749184551.jpg,2.话轮交替
1749184551.jpg,3.if  were you
1749184551.jpg,4.承接
1749184551.jpg,3.2解题技巧 随堂测试1
1749184551.jpg,1.辨主题
1749184551.jpg,2.主题和话题转换
1749184551.jpg,3.节目的拍摄形式
1749184551.jpg,3.3 真题演练 真题演练：实战
1749184551.jpg,8.She received her first monthly salary.
1749184551.jpg,9.Two decades ago.
1749184551.jpg,10.He treated his parents to a nice meal.
1749184551.jpg,11.Join her colleagues for gym exercise.
1749184551.jpg,12.He has a difficult decision to make.
1749184551.jpg,13.Seek advice from his family and advisor.
1749184551.jpg,14.His parents and advisor have different opinions.
1749184551.jpg,15.They haven't started their careers yet. 师公众号·满分学习
1749184552.jpg,3.4长对话听力专练 长对话听力专练1
1749184552.jpg,1.Her teacher.
1749184552.jpg,2.She does it very well.
1749184552.jpg,3.To tell her that she will attend a conference.
1749184552.jpg,4.Money.
1749184552.jpg,1.To look for a new apartment.
1749184552.jpg,2.Her present apartment is a bit far from school.
1749184552.jpg,3.An apartment with furniture.
1749184552.jpg,4.He will find an apartment for her on his way to class. 长对话听力专练2
1749184552.jpg,1.At an accountancy firm
1749184552.jpg,2.Helping out with data input.
1749184552.jpg,3.He needs the money badly.
1749184552.jpg,4.Review some accountancy terms.
1749184552.jpg,1.Security.
1749184552.jpg,2.Buying from reputable companies with secure websites.
1749184552.jpg,3.Because she wants to see if there are new summer clothes on sale.
1749184552.jpg,4.Visit the bookstore opposite. 长对话听力专练3
1749184552.jpg,1.They are professors.
1749184552.jpg,2.Because unimportant details take up the main part of the essay.
1749184552.jpg,3.Footnotes.
1749184552.jpg,4.Telling students what the problems are.
1749184552.jpg,1.A sweet. e公众号·满分学习
1749184553.jpg,2.Because it bites like what it is called.
1749184553.jpg,3.lt is cheaper to stay in the UK.
1749184553.jpg,4.He didn't have a good time. 第四章篇章听力精讲与专练
1749184553.jpg,4.1考点解析 随堂测试1
1749184553.jpg,1.应用文
1749184553.jpg,2.总分总结构
1749184553.jpg,3.时间
1749184553.jpg,4.讲道理
1749184553.jpg,5.A survey about local public libraries 随堂测试1
1749184553.jpg,1.话题转换处
1749184553.jpg,2.比较
1749184553.jpg,3.first... secon...
1749184553.jpg,4.篇章首尾处
1749184553.jpg,4.2解题技巧 随堂测试1
1749184553.jpg,1.醉体裁
1749184553.jpg,2.识结构
1749184553.jpg,3.作比较
1749184553.jpg,4.3真题演练 真题演练：实践
1749184553.jpg,16.They are more likely to become engineers.
1749184553.jpg,17.Respond more positively to boys comments.
1749184553.jpg,18.Offer personalized teaching materials.
1749184553.jpg,19.lt does not rain as much as people think.
1749184553.jpg,20.The rain is usually very light 心公众号·满分学习
1749184554.jpg,21.lt has mild weather both in summer and in winter.
1749184554.jpg,22.A cow bone.
1749184554.jpg,23.Preserving it.
1749184554.jpg,24.The boy's family had acted correctly.
1749184554.jpg,25.Conduct a more detailed search
1749184554.jpg,4.4篇章听力专练 篇章听力专练1
1749184554.jpg,1.His personal history is little known.
1749184554.jpg,2.He was a member of the town council.
1749184554.jpg,3.Possible sources of clues about him were lost in a fire.
1749184554.jpg,1.Limited time and more stress.
1749184554.jpg,2.100 days a year.
1749184554.jpg,3.Helping others makes people healthier.
1749184554.jpg,1.To manage well the employees
1749184554.jpg,2.Satisfy the needs of the staff.
1749184554.jpg,3.His company and his position.
1749184554.jpg,4.By linking their personal goals and company's aim. 篇章听力专练2
1749184554.jpg,1.They claimed crinking eight glasses of water a day lacks scientific evidence.
1749184554.jpg,2.Humans cannot live more than a few days without water.
1749184554.jpg,3.They discovered that drinking water helps the kidney.
1749184554.jpg,1.They avoid looking at them 免公众号·满分学习
1749184555.jpg,2.lt focuses its eyes on their mouth.
1749184555.jpg,3.By taking in their facial expressions as a whole.
1749184555.jpg,1.To take a good picture of the city.
1749184555.jpg,2.A news reporter.
1749184555.jpg,3.Her ideas were always in advance of the current ideas.
1749184555.jpg,4.It recorded the world in pictures for the future. 篇章听力专练3
1749184555.jpg,1.To give women the same education that men enjoy
1749184555.jpg,2.Women are much freer in choosing classes.
1749184555.jpg,3.They are more likely to have successful career.
1749184555.jpg,1.A new method to predict the hurricane.
1749184555.jpg,2.lt collects the sound of strong waves.
1749184555.jpg,3.In hurricane-affected areas.
1749184555.jpg,1.Having no budget plans at all
1749184555.jpg,2.Many of them can be cut.
1749184555.jpg,3.Move to a cheaper place.
1749184555.jpg,4.Family budget problems and solutions. 第五章考前冲刺
1749184555.jpg,5.1听力真题实战 听力真题实战1
1749184555.jpg,1.Safety concerns.
1749184555.jpg,2.lt plays an important role in the nation's economy.
1749184555.jpg,3.To rescue two sick American workers. e公众号·满分学习
1749184556.jpg,4.The darkness and cold.
1749184556.jpg,5.With a full-sized helicopter.
1749184556.jpg,6.He has rich experience in flying.
1749184556.jpg,7.Do something fun and creative.
1749184556.jpg,8.To arrange the delivery of a package
1749184556.jpg,9.She is not at home.
1749184556.jpg,10.He will be working somewhere else.
1749184556.jpg,11.Sign her name.
1749184556.jpg,12.Study abroad.
1749184556.jpg,13.Rather depressed.
1749184556.jpg,14.He has to finish an assignment.
1749184556.jpg,15.Say goodbye to the woman at the airport
1749184556.jpg,16.lts height changes with each volcanic eruption.
1749184556.jpg,17.They make good fields for farming.
1749184556.jpg,18.They feed on certain small mammals.
1749184556.jpg,19.He is self-employed.
1749184556.jpg,20.Loving the work they do.
1749184556.jpg,21.It does not come to anything without hard work.
1749184556.jpg,22.lt evolved in the mid-1970s.
1749184556.jpg,23.She hated to see her idlling about.
1749184556.jpg,24.After she started teaching English
1749184556.jpg,25.lt has made her happy and energetic. 听力真题实战2
1749184556.jpg,1.The number of male nurses has gone down.
1749184556.jpg,2.Cultural bias.
1749184556.jpg,3.He was almost drowned. e公众号·满分学习
1749184557.jpg,4.The emergency services are efficient
1749184557.jpg,5.lt became an online star. b.Release it into the wild.
1749184557.jpg,7.The raccoon did something no politician could.
1749184557.jpg,8.She received her first monthly salary.
1749184557.jpg,9.Two decades ago
1749184557.jpg,10.He treated his parents to a nice meal.
1749184557.jpg,11.Join her colleagues for gym exercise.
1749184557.jpg,12.He has a difficult decision to make.
1749184557.jpg,13.Seek advice from his family and advisor.
1749184557.jpg,14.His parents and advisor have different opinions.
1749184557.jpg,15.They haven't started their careers yet.
1749184557.jpg,16.Using information to understand and solve problems.
1749184557.jpg,17.Playing games that challenge one's mind.
1749184557.jpg,18.Participate in debates or discussions.
1749184557.jpg,19.The nature of relationships between dogs.
1749184557.jpg,20.They can fall in love just like humans.
1749184557.jpg,21.They stay with one partner for life.
1749184557.jpg,22.A cow bone.
1749184557.jpg,23.Preserving it.
1749184557.jpg,24.The boy's family had acted correctly. 师公众号·满分学习
1749184558.jpg,25.Conduct a more detailed search
1749184558.jpg,5.2 听力冲刺训练 冲刺训练1
1749184558.jpg,1.Sports affect the quality of school education.
1749184558.jpg,2.Sports help them develop fine qualities.
1749184558.jpg,3.Links between painkillers and heart attacks.
1749184558.jpg,4.lt is not clear enough
1749184558.jpg,5.One.
1749184558.jpg,6.Monday afternoon.
1749184558.jpg,7.He opened fire inside the school cafeteria.
1749184558.jpg,8.Because he is worried about Old John.
1749184558.jpg,9.She died.
1749184558.jpg,10.She does not care about his father at all.
1749184558.jpg,11.His own pension.
1749184558.jpg,12.Dangerous and romantic adventures.
1749184558.jpg,13.They all come from her imagination
1749184558.jpg,14.Reading and playing with her various animals.
1749184558.jpg,15.Susan is a full-time professional writer.
1749184558.jpg,16.To get pleasure.
1749184558.jpg,17.Because it permits players to put creativity into action.
1749184558.jpg,18.They can all be traced to a play impulse. 师公众号·满分学习
1749184559.jpg,19.Because they have little to do and have no goals to go after.
